cat_yahoofinanzas,emisora,benchmark_morningstar,clas_cnbv,link_cnbv,familia,link_morningstar,link_yahoofinanzas1,link_yahoofinanzas2
,+CIBOLS BF-7,,Común - Agresivo,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000W5D8&SecurityToken=F00000W5D8%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000W5D8,https://es-us.finanzas.yahoo.com/q/hp?s=CIBOLSBF7.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIBOLSBF-7.MX
,+CIGUB BE-1,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZJ2&SecurityToken=F000001ZJ2%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZJ2,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE1.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-1.MX
,+CIGUB BE-2,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000QAGK&SecurityToken=F00000QAGK%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000QAGK,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE2.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-2.MX
,+CIGUB BE-3,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000MEPV&SecurityToken=F00000MEPV%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000MEPV,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE3.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-3.MX
,+CIGUB BE-5,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002MWZ&SecurityToken=F000002MWZ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002MWZ,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-5.MX
,+CIGUB BF-0,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VPQI&SecurityToken=F00000VPQI%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VPQI,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF0.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-0.MX
,+CIGUB BF-4,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VPQJ&SecurityToken=F00000VPQJ%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VPQJ,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF4.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-4.MX
,+CIGUB BF-5,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002MX1&SecurityToken=F000002MX1%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002MX1,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF5.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-5.MX
,+CIGUB BF-7,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002DRH&SecurityToken=F000002DRH%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002DRH,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF7.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-7.MX
,+CIGUB BM-0,,Deuda PM - Espec. en papel gubernamental,http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000NRBT&SecurityToken=F00000NRBT%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN,,http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000NRBT,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM0.MX,https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM-0.MX
