"h_benchmark_fondos","j_link_cnbv","i_benchmark_morningstar","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","d_adquiriente","e_cat_cnbv","k_link_morningstar","g_fecha_inicio","f_cat_fondos","c_familia","b_clas_cnbv"
"BMV IPC PR MXN","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000W5D8&SecurityToken=F00000W5D8%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIBOLSBF7.MX","+CIBOLS BF-7","https://es-us.finanzas.yahoo.com/q/hp?s=CIBOLSBF-7.MX","Personas físicas","Mixtos Agresivos","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000W5D8","09/07/2015","-",,"Común - Agresivo"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000001ZJ2&SecurityToken=F000001ZJ2%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE1.MX","+CIGUB BE-1","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-1.MX","No contribuyentes","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000001ZJ2","05/11/2001","Deuda",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000QAGK&SecurityToken=F00000QAGK%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE2.MX","+CIGUB BE-2","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-2.MX","No contribuyentes","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000QAGK","05/08/2013","Deuda",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000MEPV&SecurityToken=F00000MEPV%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE3.MX","+CIGUB BE-3","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-3.MX","No contribuyentes","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000MEPV","02/05/2011","Deuda",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002MWZ&SecurityToken=F000002MWZ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE5.MX","+CIGUB BE-5","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBE-5.MX","No contribuyentes","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002MWZ","30/01/2009","Deuda",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VPQI&SecurityToken=F00000VPQI%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF0.MX","+CIGUB BF-0","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-0.MX","Fondo de fondos","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VPQI","10/03/2015","-",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000VPQJ&SecurityToken=F00000VPQJ%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF4.MX","+CIGUB BF-4","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-4.MX","Personas físicas","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000VPQJ","24/03/2015","-",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002MX1&SecurityToken=F000002MX1%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF5.MX","+CIGUB BF-5","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-5.MX","Personas físicas","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002MX1","30/01/2009","Deuda",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002DRH&SecurityToken=F000002DRH%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF7.MX","+CIGUB BF-7","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBF-7.MX","Personas físicas","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002DRH","03/03/2008","Deuda",,"Deuda PM - Espec. en papel gubernamental"
"FTSE-PiP Fondeo G 24hrs","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000NRBT&SecurityToken=F00000NRBT%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM0.MX","+CIGUB BM-0","https://es-us.finanzas.yahoo.com/q/hp?s=CIGUBBM-0.MX","Fondo de fondos","Deuda Gubernamental - Corto Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000NRBT","15/02/2012","-",,"Deuda PM - Espec. en papel gubernamental"
