"j_link_cnbv","i_benchmark_morningstar","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","k_link_morningstar","b_clas_cnbv","c_familia"
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000W5DA&SecurityToken=F00000W5DA%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBM3.MX","+CIUSD BM-3","https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBM-3.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000W5DA","Dueda PF - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000W5DA&SecurityToken=F00000W5DA%5d2%5d0%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=0&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBM3.MX","+CIUSD BM-3","https://es-us.finanzas.yahoo.com/q/hp?s=CIUSDBM-3.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000W5DA","Dueda PF - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000PC9T&SecurityToken=F00000PC9T%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE1.MX","+CIVRDE BE-1","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-1.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000PC9T","Común - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000PC9T&SecurityToken=F00000PC9T%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE1.MX","+CIVRDE BE-1","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-1.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000PC9T","Común - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000PC9U&SecurityToken=F00000PC9U%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE3.MX","+CIVRDE BE-3","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-3.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000PC9U","Común - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000PC9U&SecurityToken=F00000PC9U%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE3.MX","+CIVRDE BE-3","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-3.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000PC9U","Común - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000S7NC&SecurityToken=F00000S7NC%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE5.MX","+CIVRDE BE-5","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-5.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000S7NC","Común - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000S7NC&SecurityToken=F00000S7NC%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE5.MX","+CIVRDE BE-5","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBE-5.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000S7NC","Común - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000048Z&SecurityToken=F00000048Z%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF3.MX","+CIVRDE BF-3","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF-3.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000048Z","Común - Agresivo",
"http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000048Z&SecurityToken=F00000048Z%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN",,"https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF3.MX","+CIVRDE BF-3","https://es-us.finanzas.yahoo.com/q/hp?s=CIVRDEBF-3.MX","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000048Z","Común - Agresivo",
