"h_benchmark_fondos","j_link_cnbv","b_clas_cnbv","l_link_yahoofinanzas1","a_emisora","m_link_yahoofinanzas2","d_adquiriente","e_cat_cnbv","k_link_morningstar","g_fecha_inicio","f_cat_fondos"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000044XX&SecurityToken=F0000044XX%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBM1.MX","IXEMPM+ BM1",,"Personas morales","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000044XX","27/03/2008","Deuda"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000S77C&SecurityToken=F00000S77C%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBF5.MX","IXEMPM+ BF5",,"Personas físicas","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000S77C","05/12/2013","Deuda"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000OURY&SecurityToken=F00000OURY%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBF4.MX","IXEMPM+ BF4",,"Personas físicas","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000OURY","24/09/2012","Deuda"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000OX5E&SecurityToken=F00000OX5E%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBF3.MX","IXEMPM+ BF3",,"Personas físicas","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000OX5E","05/10/2012","Deuda"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F00000OSHY&SecurityToken=F00000OSHY%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBF2.MX","IXEMPM+ BF2",,"Personas físicas","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F00000OSHY","30/08/2012","Deuda"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000021P8&SecurityToken=F0000021P8%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBF1.MX","IXEMPM+ BF1",,"Personas físicas","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000021P8","15/12/1994","Deuda"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000002PBZ&SecurityToken=F000002PBZ%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBE4.MX","IXEMPM+ BE4",,"No contribuyentes","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000002PBZ","27/03/2008","Deuda"
"10% S&P Valmer MEX CETES, 70% S&P Valmer MEX Bonos 3A, 20% S&P Valmer MEX Bonos 5A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000021P9&SecurityToken=F0000021P9%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PF - Espec. en papel gubernamental","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPMBE3.MX","IXEMPM+ BE3",,"No contribuyentes","Deuda Gubernamental - Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000021P9","27/03/2008","Deuda"
"30% S&P Valmer MEX CETES, 35% S&P Valmer MEX UDIBonos 5A, 35% S&P Valmer MEX UDIBonos 10A","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F0000028RY&SecurityToken=F0000028RY%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Deuda PM no contribuyente - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=IXETRBE3.MX","IXETR BE3",,"No contribuyentes","Deuda Largo Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F0000028RY","05/06/2008","Deuda"
"50% S&P Valmer MEX Gubernamental, 50% S&P Valmer MEX Tasa Fija Gub 12M","http://lt.morningstar.com/7ap7omrzjm/snapshot/snapshot.aspx?id=F000005GWE&SecurityToken=F000005GWE%5d2%5d1%5dFOMEX%24%24ALL_1414&clearcache=true&ClientFund=1&LanguageId=es-MX&CurrencyId=MXN&UniverseId=FOMEX%24%24ALL_1414&BaseCurrencyId=MXN","Dueda PF - Agresivo","https://es-us.finanzas.yahoo.com/q/hp?s=IXEMPBM1.MX","IXEMP BM1",,"Personas morales","Deuda Mediano Plazo","http://www.morningstar.com.mx/mx/funds/snapshot/snapshot.aspx?id=F000005GWE","23/10/2009","Deuda"
